Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,26,0,7,67,0,0.905405405,0.787878788,0.905405405,1,0.881355932,0.95035461,0.915855271,0.887625365,0.893939394,0.923321048,0.981004071,0.93
2,26,2,8,64,0.03030303,0.888888889,0.764705882,0.888888889,0.96969697,0.838709677,0.927536232,0.883122955,0.86112309,0.867201426,0.887965792,0.939839572,0.9
3,31,6,2,61,0.089552239,0.968253968,0.939393939,0.968253968,0.910447761,0.885714286,0.938461538,0.912087912,0.924807606,0.92492085,0.913983377,0.912256897,0.92
4,4,12,63,21,0.363636364,0.25,0.059701493,0.25,0.636363636,0.096385542,0.358974359,0.227679951,0.194915004,0.348032564,0.299016282,0.243781095,0.25
5,4,9,62,25,0.264705882,0.287356322,0.060606061,0.287356322,0.735294118,0.101265823,0.41322314,0.257244482,0.211100165,0.397950089,0.347737202,0.322638146,0.29
6,5,11,62,22,0.333333333,0.261904762,0.074626866,0.261904762,0.666666667,0.120481928,0.376068376,0.248275152,0.223049868,0.370646766,0.328924574,0.384893713,0.27
7,16,2,17,65,0.029850746,0.792682927,0.484848485,0.792682927,0.970149254,0.62745098,0.872483221,0.749967101,0.685839191,0.727498869,0.784142389,0.79149706,0.81
8,22,4,12,62,0.060606061,0.837837838,0.647058824,0.837837838,0.939393939,0.733333333,0.885714286,0.80952381,0.779642955,0.793226381,0.817611112,0.852049911,0.84
9,23,4,10,63,0.059701493,0.863013699,0.696969697,0.863013699,0.940298507,0.766666667,0.9,0.833333333,0.809542813,0.818634102,0.838033439,0.900949796,0.86
10,6,17,61,16,0.515151515,0.207792208,0.089552239,0.207792208,0.484848485,0.133333333,0.290909091,0.212121212,0.208372904,0.287200362,0.260765624,0.248756219,0.22
11,4,16,62,18,0.470588235,0.225,0.060606061,0.225,0.529411765,0.093023256,0.315789474,0.204406365,0.17912443,0.295008913,0.253754456,0.231729055,0.22
12,4,15,63,18,0.454545455,0.222222222,0.059701493,0.222222222,0.545454545,0.093023256,0.315789474,0.204406365,0.180456229,0.302578019,0.259476144,0.279511533,0.22
13,23,4,10,63,0.059701493,0.863013699,0.696969697,0.863013699,0.940298507,0.766666667,0.9,0.833333333,0.809542813,0.818634102,0.838033439,0.890999548,0.86
14,25,3,9,63,0.045454545,0.875,0.735294118,0.875,0.954545455,0.806451613,0.913043478,0.859747546,0.837777809,0.844919786,0.864424179,0.90285205,0.88
15,24,4,9,63,0.059701493,0.875,0.727272727,0.875,0.940298507,0.786885246,0.90647482,0.846680033,0.826954328,0.833785617,0.849928523,0.91587517,0.87
