Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,33,67,0,0.67,0,0.67,1,0,0.80239521,0.401197605,0,0.5,0.4175,0.5,0.67
2,20,36,14,30,0.545454545,0.681818182,0.588235294,0.681818182,0.454545455,0.444444444,0.545454545,0.494949495,0.51708769,0.521390374,0.520435447,0.667557932,0.5
3,28,27,5,40,0.402985075,0.888888889,0.848484848,0.888888889,0.597014925,0.636363636,0.714285714,0.675324675,0.711728964,0.722749887,0.710869893,0.778606965,0.68
4,30,18,37,15,0.545454545,0.288461538,0.447761194,0.288461538,0.454545455,0.52173913,0.352941176,0.437340153,0.451140572,0.451153324,0.453942047,0.326775215,0.45
5,54,20,12,14,0.588235294,0.538461538,0.818181818,0.538461538,0.411764706,0.771428571,0.466666667,0.619047619,0.580429492,0.614973262,0.624534448,0.603386809,0.68
6,53,20,14,13,0.606060606,0.481481481,0.791044776,0.481481481,0.393939394,0.757142857,0.433333333,0.595238095,0.558232657,0.592492085,0.598123262,0.60651289,0.66
7,30,49,3,18,0.731343284,0.857142857,0.909090909,0.857142857,0.268656716,0.535714286,0.409090909,0.472402597,0.494199735,0.588873813,0.60365933,0.60877431,0.48
8,32,42,2,24,0.636363636,0.923076923,0.941176471,0.923076923,0.363636364,0.592592593,0.52173913,0.557165862,0.585017939,0.652406417,0.665080547,0.739527629,0.56
9,32,42,1,25,0.626865672,0.961538462,0.96969697,0.961538462,0.373134328,0.598130841,0.537634409,0.567882625,0.601520762,0.671415649,0.684200548,0.860470375,0.57
10,60,25,7,8,0.757575758,0.533333333,0.895522388,0.533333333,0.242424242,0.789473684,0.333333333,0.561403509,0.465935979,0.568973315,0.594290579,0.44165536,0.68
11,60,27,6,7,0.794117647,0.538461538,0.909090909,0.538461538,0.205882353,0.784313725,0.29787234,0.541093033,0.4326266,0.557486631,0.585772493,0.580659537,0.67
12,55,19,12,14,0.575757576,0.538461538,0.820895522,0.538461538,0.424242424,0.780141844,0.474576271,0.627359058,0.590134482,0.622568973,0.631710682,0.620759837,0.69
13,32,33,1,34,0.492537313,0.971428571,0.96969697,0.971428571,0.507462687,0.653061224,0.666666667,0.659863946,0.701487726,0.738579828,0.73522398,0.779285391,0.66
14,34,36,0,30,0.545454545,1,1,1,0.454545455,0.653846154,0.625,0.639423077,0.674199862,0.727272727,0.735064935,0.727941176,0.64
15,26,27,7,40,0.402985075,0.85106383,0.787878788,0.85106383,0.597014925,0.604651163,0.701754386,0.653202774,0.685839191,0.692446857,0.681630895,0.863862506,0.66
